#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.957870E-02   0.152895E+08   0.152803E+08   0.128068E+02   0.661801E+04   0.000000E+00   0.152881E+08   0.152881E+08   0.152835E+08  -0.361299E+00   0.792471E+07   0.792463E+07   0.286900E+01
   0.968573E-02   0.152431E+08   0.152338E+08   0.671799E+03   0.662397E+04   0.000000E+00   0.152417E+08   0.152417E+08   0.152373E+08  -0.360202E+00   0.790068E+07   0.790060E+07   0.289013E+01
   0.979395E-02   0.151964E+08   0.151869E+08   0.104465E+04   0.632580E+04   0.000000E+00   0.151949E+08   0.151949E+08   0.151906E+08  -0.359096E+00   0.787645E+07   0.787636E+07   0.291132E+01
   0.990338E-02   0.151493E+08   0.151396E+08   0.937135E+03   0.586933E+04   0.000000E+00   0.151477E+08   0.151477E+08   0.151435E+08  -0.357981E+00   0.785200E+07   0.785191E+07   0.293257E+01
   0.100140E-01   0.151017E+08   0.150918E+08   0.611419E+03   0.555627E+04   0.000000E+00   0.151002E+08   0.151002E+08   0.150961E+08  -0.356856E+00   0.782735E+07   0.782726E+07   0.295387E+01
   0.101259E-01   0.150538E+08   0.150437E+08   0.490576E+03   0.554583E+04   0.000000E+00   0.150522E+08   0.150522E+08   0.150482E+08  -0.355721E+00   0.780249E+07   0.780240E+07   0.297523E+01
   0.102391E-01   0.150055E+08   0.149952E+08   0.727924E+03   0.569206E+04   0.000000E+00   0.150038E+08   0.150038E+08   0.150000E+08  -0.354577E+00   0.777742E+07   0.777733E+07   0.299663E+01
   0.103535E-01   0.149567E+08   0.149462E+08   0.106476E+04   0.569217E+04   0.000000E+00   0.149551E+08   0.149551E+08   0.149513E+08  -0.353424E+00   0.775215E+07   0.775205E+07   0.301807E+01
   0.104691E-01   0.149076E+08   0.148969E+08   0.111445E+04   0.540457E+04   0.000000E+00   0.149059E+08   0.149059E+08   0.149022E+08  -0.352260E+00   0.772666E+07   0.772656E+07   0.303955E+01
   0.105861E-01   0.148580E+08   0.148471E+08   0.772176E+03   0.500235E+04   0.000000E+00   0.148563E+08   0.148563E+08   0.148527E+08  -0.351088E+00   0.770096E+07   0.770086E+07   0.306107E+01
   0.107044E-01   0.148080E+08   0.147969E+08   0.315012E+03   0.478547E+04   0.000000E+00   0.148063E+08   0.148063E+08   0.148028E+08  -0.349905E+00   0.767504E+07   0.767494E+07   0.308262E+01
   0.108240E-01   0.147577E+08   0.147463E+08   0.915606E+02   0.484581E+04   0.000000E+00   0.147559E+08   0.147559E+08   0.147525E+08  -0.348713E+00   0.764892E+07   0.764881E+07   0.310419E+01
   0.109449E-01   0.147069E+08   0.146953E+08   0.158685E+03   0.496098E+04   0.000000E+00   0.147051E+08   0.147051E+08   0.147017E+08  -0.347511E+00   0.762257E+07   0.762247E+07   0.312578E+01
   0.110672E-01   0.146557E+08   0.146439E+08   0.282605E+03   0.485133E+04   0.000000E+00   0.146538E+08   0.146538E+08   0.146506E+08  -0.346300E+00   0.759602E+07   0.759591E+07   0.314739E+01
   0.111909E-01   0.146040E+08   0.145920E+08   0.285589E+03   0.451153E+04   0.000000E+00   0.146022E+08   0.146022E+08   0.145990E+08  -0.345078E+00   0.756924E+07   0.756914E+07   0.316902E+01
   0.113159E-01   0.145520E+08   0.145398E+08   0.286841E+03   0.421829E+04   0.000000E+00   0.145501E+08   0.145501E+08   0.145470E+08  -0.343847E+00   0.754225E+07   0.754214E+07   0.319064E+01
   0.114423E-01   0.144995E+08   0.144871E+08   0.507759E+03   0.418995E+04   0.000000E+00   0.144976E+08   0.144976E+08   0.144946E+08  -0.342605E+00   0.751504E+07   0.751493E+07   0.321227E+01
   0.115702E-01   0.144467E+08   0.144339E+08   0.885808E+03   0.431152E+04   0.000000E+00   0.144447E+08   0.144447E+08   0.144417E+08  -0.341354E+00   0.748761E+07   0.748750E+07   0.323390E+01
   0.116995E-01   0.143933E+08   0.143804E+08   0.104575E+04   0.428092E+04   0.000000E+00   0.143913E+08   0.143913E+08   0.143885E+08  -0.340093E+00   0.745997E+07   0.745985E+07   0.325551E+01
   0.118302E-01   0.143396E+08   0.143264E+08   0.747449E+03   0.400347E+04   0.000000E+00   0.143376E+08   0.143376E+08   0.143348E+08  -0.338822E+00   0.743210E+07   0.743198E+07   0.327710E+01
   0.119624E-01   0.142855E+08   0.142720E+08   0.252885E+03   0.371849E+04   0.000000E+00   0.142834E+08   0.142834E+08   0.142806E+08  -0.337540E+00   0.740401E+07   0.740389E+07   0.329868E+01
   0.120960E-01   0.142309E+08   0.142172E+08   0.628206E+02   0.367473E+04   0.000000E+00   0.142287E+08   0.142287E+08   0.142261E+08  -0.336249E+00   0.737570E+07   0.737558E+07   0.332022E+01
   0.122312E-01   0.141759E+08   0.141619E+08   0.286690E+03   0.378582E+04   0.000000E+00   0.141737E+08   0.141737E+08   0.141711E+08  -0.334947E+00   0.734716E+07   0.734704E+07   0.334172E+01
   0.123678E-01   0.141204E+08   0.141062E+08   0.487945E+03   0.375177E+04   0.000000E+00   0.141182E+08   0.141182E+08   0.141157E+08  -0.333635E+00   0.731841E+07   0.731828E+07   0.336319E+01
   0.125060E-01   0.140645E+08   0.140501E+08   0.289174E+03   0.349025E+04   0.000000E+00   0.140623E+08   0.140623E+08   0.140598E+08  -0.332314E+00   0.728942E+07   0.728930E+07   0.338460E+01
   0.126457E-01   0.140082E+08   0.139935E+08  -0.534135E+02   0.325719E+04   0.000000E+00   0.140059E+08   0.140059E+08   0.140035E+08  -0.330981E+00   0.726022E+07   0.726009E+07   0.340596E+01
   0.127870E-01   0.139515E+08   0.139365E+08   0.356640E+02   0.326434E+04   0.000000E+00   0.139491E+08   0.139491E+08   0.139468E+08  -0.329639E+00   0.723079E+07   0.723066E+07   0.342725E+01
